project,release,class,loc,churn,loc_added,fan_out,revisions,max_churn,max_loc_added,avg_churn,avg_loc_added,fan_in_total,loc_touched_total,revisions_density,ns,age,weighted_age,nauth,nfix,ndev,bug_density,fix,code_smells,buggy
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\hooks\info\SpoutAckInfo.java,11,0,0,0,0,0,0,0.0,0.0,2,0,0.0,1,7.73,0.0,1,0,1,0.0,0,3,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\hooks\info\SpoutFailInfo.java,11,0,0,0,0,0,0,0.0,0.0,2,0,0.0,1,7.73,0.0,1,0,1,0.0,0,3,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\messaging\IConnection.java,6,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,0,YES
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\messaging\IContext.java,8,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,5,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\messaging\TaskMessage.java,28,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,2,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\messaging\TransportFactory.java,29,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,7,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\LoggingMetricsConsumer.java,34,0,0,6,0,0,0,0.0,0.0,0,0,0.0,1,4.59,0.0,1,0,1,0.0,0,4,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\MetricsConsumerBolt.java,40,0,0,7,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,6,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\SystemBolt.java,113,0,0,12,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,3,1,3,0.0088495575221238,1,15,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\api\AssignableMetric.java,13,0,0,0,0,0,0,0.0,0.0,1,0,0.0,1,7.73,0.0,1,0,1,0.0,0,1,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\api\CombinedMetric.java,17,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,2,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\api\CountMetric.java,18,0,0,1,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,3,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\api\ICombiner.java,5,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,0,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\api\IMetric.java,4,0,0,0,0,0,0,0.0,0.0,2,0,0.0,1,7.73,0.0,1,0,1,0.0,0,0,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\api\IMetricsConsumer.java,40,0,0,2,0,0,0,0.0,0.0,2,0,0.0,1,7.73,0.0,1,0,1,0.0,0,9,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\api\IReducer.java,6,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,0,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\api\IStatefulObject.java,4,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,4.59,0.0,1,0,1,0.0,0,0,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\api\MeanReducer.java,33,0,0,1,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,6,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\api\MultiCountMetric.java,23,0,0,1,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,6,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\api\MultiReducedMetric.java,28,0,0,1,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,6,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\api\ReducedMetric.java,17,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,2,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\metric\api\StateMetric.java,11,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,4.59,0.0,1,0,1,0.0,0,1,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\nimbus\DefaultTopologyValidator.java,12,0,0,2,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,2,1,2,0.0833333333333333,1,3,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\nimbus\ITopologyValidator.java,9,0,0,2,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,2,0,2,0.0,0,3,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\planner\CompoundSpout.java,4,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,1,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\planner\CompoundTask.java,4,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,1,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\planner\TaskBundle.java,11,0,0,1,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,2,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\scheduler\Cluster.java,242,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,26,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\scheduler\ExecutorDetails.java,29,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,1,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\scheduler\INimbus.java,11,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,1,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\scheduler\IScheduler.java,6,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,1,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\scheduler\ISupervisor.java,12,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,2,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\scheduler\SchedulerAssignment.java,11,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,0,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\scheduler\SchedulerAssignmentImpl.java,55,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,4,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\scheduler\SupervisorDetails.java,50,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,2,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\scheduler\Topologies.java,32,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,4,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\scheduler\TopologyDetails.java,57,0,0,2,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,6,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\scheduler\WorkerSlot.java,28,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,0,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\auth\AuthUtils.java,61,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,20,YES
